numsecteur,sous_secteurs,solutions
1,"[1, 2, 9, 18, 21, 33, 44, 50]","[1611, 19, 1459, 725, 826]"
2,"[3, 4, 5, 6, 7, 8]","[160, 553, 240, 1105, 914, 1459, 1016, 154, 955, 701]"
3,,"[1, 1026, 776, 779, 780, 784, 147, 920, 154, 1055, 800, 929, 163, 804, 936, 553, 184, 1083, 1474, 1481, 713, 1486, 847, 719, 80, 79, 78, 214, 89, 348, 482, 483, 1124, 359, 488, 241, 1143]"
4,,"[449, 578, 1, 804, 551, 488, 553, 777, 332, 783, 784, 719, 240, 857, 1083]"
5,,"[832, 769, 738, 1445, 582, 552, 296, 334, 784, 240, 914, 539, 831]"
6,,"[160, 932, 295, 1000, 105, 140, 974, 334, 851, 889, 280, 857, 154, 222]"
7,,"[832, 240, 250, 572]"
8,,"[97, 291, 836, 870, 1482, 1483, 427, 784, 573]"
9,"[10, 11, 12, 13, 14, 15, 16, 17]","[578, 708, 804, 839, 777, 139, 719, 336, 722, 211, 214, 1111, 701]"
10,,"[539, 1055, 160, 310, 708, 839, 329, 970, 719, 349, 866, 867, 868, 869, 358, 870, 233, 1003, 240]"
11,,"[488, 804, 54, 790]"
12,,"[1, 866, 933, 359, 488, 553, 1129, 1484, 46, 367, 719, 1007, 54, 92, 349]"
13,,"[160, 1024, 1025, 578, 804, 553, 778, 779, 332, 1003, 780, 719, 1484, 850, 179, 214, 1082, 955]"
14,,[1055]
15,,"[768, 773, 10, 1055, 803, 804, 1061, 553, 185, 191, 449, 1478, 1479, 329, 78, 719, 850, 724, 985, 857, 487, 871, 873, 878, 1008, 1013, 1014, 887, 246]"
16,,"[719, 95]"
17,,"[4, 144, 146, 280, 152, 160, 416, 804, 45, 182, 714, 719, 850, 724, 855, 223, 358, 871, 233, 110]"
18,"[19, 20]","[1026, 1027, 1028, 1029, 1030, 5, 8, 1034, 19, 1043, 539, 27, 29, 1052, 1055, 34, 553, 48, 1076, 55, 1085, 1087, 578, 67, 79, 1619, 95, 1129, 113, 1143, 154, 160, 179, 182, 191, 192, 194, 196, 708, 204, 719, 211, 213, 218, 219, 222, 223, 240, 246, 777, 778, 780, 781, 785, 786, 789, 790, 798, 295, 312, 826, 317, 839, 329, 331, 339, 341, 350, 352, 869, 870, 874, 878, 367, 371, 887, 418, 930, 937, 427, 944, 965, 1484, 482, 1001, 1002, 500, 503, 1017, 1018, 1021, 1022, 1023]"
19,,"[780, 913, 1043, 790, 918, 1048, 1054, 1055, 50, 184, 191, 64, 196, 332, 336, 211, 213, 357, 359, 488, 246, 888, 121, 891]"
20,,"[782, 147, 154, 1054, 160, 163, 1065, 182, 191, 1087, 194, 708, 717, 334, 719, 850, 222, 869, 488, 240, 1022]"
21,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",[208]
22,,"[136, 1035, 139, 156, 926, 799, 160, 1056, 1057, 1058, 802, 1055, 415, 936, 937, 943, 312, 1468, 321, 1091, 708, 199, 1479, 970, 336, 850, 851, 852, 342, 482, 355, 361, 879, 882, 500, 502, 504, 1020]"
24,,"[136, 1469, 1470, 1479]"
25,,"[768, 770, 1019, 776, 777, 139, 780, 783, 1050, 155, 1054, 1055, 160, 799, 1056, 936, 50, 58, 449, 578, 962, 708, 325, 1478, 321, 331, 1484, 719, 464, 80, 82, 79, 92, 93, 1118, 990, 1507, 488, 240, 500, 889, 891]"
26,,"[1632, 193, 578, 967, 488, 780, 204, 240, 497, 881, 1043, 1055]"
27,,"[70, 360, 329, 1484, 430, 784, 80, 82, 246, 504, 889, 508, 1055]"
29,,"[1088, 192, 482, 1092, 1093, 1094, 1034, 780, 430, 239, 240, 17, 974, 182, 1017, 1087, 1022, 1055]"
