numsolution,codelangue,jauge_cout,jauge_gain,titre,definition,3,4,application,6,7,8,9,10,11,12
2,2,,,Installation frigorifique négative de type cascade utilisant du CO2,Mise en place d'une installation frigorifique négative de type cascade utilisant du CO2 comme fluide frigorigène.,,,"Pour être éligible à CEE, la mise en place doit être effectuée par un professionnel et appliquée dans des locaux de commerce de distribution alimentaire de surface de vente inférieure à 5000 m².
Comparé aux autres fluides frigorigènes, le CO2 est un fluide",,,,,,,
2,3,,,Negative cascade type refrigeration system using CO2,Mise en place d'une installation frigorifique négative de type cascade utilisant du CO2 comme fluide frigorigène.,,,"Pour être éligible à CEE, la mise en place doit être effectuée par un professionnel et appliquée dans des locaux de commerce de distribution alimentaire de surface de vente inférieure à 5000 m².
Comparé aux autres fluides frigorigènes, le CO2 est un fluide",,,,,,,
2,4,,,Instalación frigorífica negativa de tipo cascada utilizando CO2,Mise en place d'une installation frigorifique négative de type cascade utilisant du CO2 comme fluide frigorigène.,,,"Pour être éligible à CEE, la mise en place doit être effectuée par un professionnel et appliquée dans des locaux de commerce de distribution alimentaire de surface de vente inférieure à 5000 m².
Comparé aux autres fluides frigorigènes, le CO2 est un fluide",,,,,,,
3,2,3.0,3.0,Centrale négative en mode booster,"Lorsque l'installation a deux centrales frigorifiques, à basse et moyenne température, le mode booster consiste à injecter le refoulement des compresseurs de froid ""négatif"" dans l'aspiration des compresseurs du cycle ""de froid positif"". De cette manière, le rendement du cycle de frigorifique basse température (négatif) est grandement amélioré car la condensation à très basse température est égale à la température d'évaporation de la centrale positive.
 
La solution permet aussi de diminuer la quantité de tuyauteries utilisées.",,,"La solution est applicable uniquement sur les projets neufs, ou sur les projets de refonte total du système de production de froid.
Pour être éligible la production de froid doit avoir deux niveaux de température  :

Une production de froid positif, dont la température de consigne est environ à 0°C : température d'évaporation coté fluide de -10°C par exemple.
Une production de froid négatif, dont la température de consigne est bien inférieur à 0°C : température d'évaporation de -30 °C par exemple.

De plus, le besoin de froid positif doit être supérieur au besoin de froid négatif.
 
Ces deux niveaux de température peuvent par exempe être retrouvés dans les secteurs d'activité suivants :

Grande et Moyenne Surface de distribution alimentaire (GMS) ;
Industrie agroalimentaire ;
Chimie et pharmacie, ...

 ",,,,,"
Nécessite la refonte totale de la production frigorifique.
",,"
Amélioration du rendement.
Diminution des quantités de tuyauterie;
"
3,3,3.0,3.0,Negative central mode booster,"Lorsque l'installation a deux centrales frigorifiques, à basse et moyenne température, le mode booster consiste à injecter le refoulement des compresseurs de froid ""négatif"" dans l'aspiration des compresseurs du cycle ""de froid positif"". De cette manière,",,,Permet aussi de diminuer la quantité de tuyauterie. ,,,,,"
Nécessite la refonte totale de la production frigorifique.
",,"
Amélioration du rendement.
Diminution des quantités de tuyauterie;
"
3,4,3.0,3.0,Central negativa en modo booster,"Lorsque l'installation a deux centrales frigorifiques, à basse et moyenne température, le mode booster consiste à injecter le refoulement des compresseurs de froid ""négatif"" dans l'aspiration des compresseurs du cycle ""de froid positif"". De cette manière,",,,Permet aussi de diminuer la quantité de tuyauterie. ,,,,,"
Nécessite la refonte totale de la production frigorifique.
",,"
Amélioration du rendement.
Diminution des quantités de tuyauterie;
"
4,2,1.0,2.0,Arrêt des compresseurs le week end et lorsque le besoin de refroidissement est nul,"Lorsqu’ils ne sont pas équipés de variation électronique de vitesse, la plupart des groupes frigorifiques fonctionnent en Tout en Rien selon le besoin de refroidissement. Lorsque la température en amont des compresseurs descend sous la consigne, les compresseurs se mettent en marche à leur charge nominale. Ainsi, lorsque le besoin de refroidissement est faible, l’utilisation des compresseurs est limitée. Cependant, lorsque le besoin est nul, il est important d’arrêter complètement la centrale frigorifique pour supprimer les pertes thermique du réseau. 
Outre l’arrêt manuel des groupes frigorifiques par les équipes du site, il existe plusieurs solutions pour automatiser l’arrêt d’un équipement. Par exemple, des horloges programmables peuvent être installées, des temporisations permettant un arrêt au bout d’un certain temps après que le besoin ait disparu, sont aussi applicables.",,,"Investir dans un échangeur destiné à sous refroidir si la puissance est trop petite.
Mettre en place une horloge de programmation hebdomadaire pour couper les compresseurs pendant les périodes d'inoccupation.","Plus le réseau de distribution est étendu, plus les pertes sont importantes. Les compresseurs fonctionneront inutilement pour les compenser. Par ailleurs, lorsque le besoin est faible, des surconsommations peuvent venir des temporisations sur les compresseurs. Celles-ci les maintiennent en fonctionnement afin d’éviter des cycles démarrage/arrête trop rapides pouvant endommager ces derniers.
 
 ",,,,,,
4,3,1.0,2.0,Shutdown of the compressors the weekend and when the need for cooling is zero,"When they are not equipped with electronic speed variation, most chillers operate in an ON / OFF Manner as needed for cooling. When the temperature upstream of the compressor drops below the setpoint, the compressor will turn on at nominal load. Thus, when the cooling demand is low, the use of compressors is limited. However, when the need is zero, it is important to completely stop the refrigeration unit to remove thermal network losses.
In addition to the manual shutdown of refrigeration groups by the site teams, there are several solutions to automate the shutdown of equipment. For example, programmable clocks can be installed, timers to stop after a certain time after the need has disappeared, are also applicable.",,,"Invest in an exchanger for sub-cooling if the power is too small.
Establish a weekly programmer to cut the compressor during unoccupied periods.
","More the distribution network is extended, more losses are significant. Compressors work unnecessarily to compensate. Moreover, when the need is low, excess consumption can come timers on compressors. They keep them in operation to avoid cycles start / stop too fast can damage them.",,,,,,
4,4,1.0,2.0,Parada de los compresores el fin de semana y cuando la necesidad de enfriamiento es nula,"Cuando ellos no están equipados con variación electrónica de velocidad, la mayoría de grupos frigoríficos funcionan en Todo o Nada, según las necesidades de enfriamiento. Cuando la temperatura de los compresores es más baja que la consigna, los compresores se ponen en funcionamiento en su carga nominal. Así, cuando la necesidad de enfriamiento es débil, el uso de compresores está limitado. Sin embargo, cuando la necesidad es nula, es importante parar completamente la central frigorífica para suprimir las pérdidas térmicas de la red.
Otra es la parada manual de los grupos frigoríficos por los equipos de los sitios, existen varios grupos para automatizar la parada de un equipo. Por ejemplo, los relojes programables pueden estar instalados, los temporizadores permiten una parada tras un cierto tiempo después de que la necesidad se haya desaparecido, son también aplicables.",,,"Invertir en un intercambiador destinado a sobre enfriar si la potencia es demasiado pequeña.
Poner en marcha un reloj de programación semanalmente para cortar los compresores durante los periodos de  no ocupación.","Cuanto más se prolongue la red de distribución, más importantes serán las pérdidas. Los compresores funcionan inútilmente para compensarlos. Además, cuando la necesidad es débil, los sobre consumos pueden venir de las temporizaciones sobre los compresores. Estas les mantienen en funcionamiento con el fin de evitar los ciclos de arranca/ parada ya que si ocurren demasiado rápido pueden dañarse.",,,,,,
5,2,,,Régulation non électronique sur un compresseur,"Les types de régulations changent selon la technologie du compresseur : 
- Compresseur alternatif : régulation en ouvrant la soupape d'admission d'un des cylindres ou par variation du volume libre.
- Compresseur centrifuge : régulation par l'utilisation d",,,"Il convient d'optimiser l'ensemble du système avant de considérer cette option d'économie d'énergie car la charge, et donc le besoin peut varier avec les précédentes modifications (réseau particulièrement)
L'utilisation de systèmes de stockage à glace est",,,,,,sur la consommation annuelle totale d'électricité,
5,3,,,Non-electronic control on a compressor,"Les types de régulations changent selon la technologie du compresseur : 
- Compresseur alternatif : régulation en ouvrant la soupape d'admission d'un des cylindres ou par variation du volume libre.
- Compresseur centrifuge : régulation par l'utilisation d",,,"Il convient d'optimiser l'ensemble du système avant de considérer cette option d'économie d'énergie car la charge, et donc le besoin peut varier avec les précédentes modifications (réseau particulièrement)
L'utilisation de systèmes de stockage à glace est",,,,,,sur la consommation annuelle totale d'électricité,
5,4,,,Regulación no electrónica sobre un compresor,"Les types de régulations changent selon la technologie du compresseur : 
- Compresseur alternatif : régulation en ouvrant la soupape d'admission d'un des cylindres ou par variation du volume libre.
- Compresseur centrifuge : régulation par l'utilisation d",,,"Il convient d'optimiser l'ensemble du système avant de considérer cette option d'économie d'énergie car la charge, et donc le besoin peut varier avec les précédentes modifications (réseau particulièrement)
L'utilisation de systèmes de stockage à glace est",,,,,,sur la consommation annuelle totale d'électricité,
6,2,2.0,2.0,Condenseur frigorifique à haute efficacité,Mise en place de condenseur à haute efficacité sur une installation frigorifique neuve ou existante. La certification EUROVENT est par exemple garant de la qualité du condenseur.,,,"Les condenseurs évaporatifs sont plus efficaces car ils utilisent la chaleur latente pour évacuer la chaleur.La plupart des systèmes réfrigérants utilisent des condenseurs refroidis à l’air pour l’évacuation de la chaleur. Les condenseurs à évaporation utilisent un filtre humidifié pour refroidir l’air ambiant lors de son entrée dans le condenseur, accroissant ainsi la capacité d’évacuation de chaleur.","Un condenseur à haute efficacité énergétique est un échangeur présentant un faible écart de température ΔT. Le ΔT l’écart de température entre le fluide frigorigène à la pression de condensation et le médium de refroidissement (eau ou air) en entrée du condenseur. Abaisser le ΔT permet d’abaisser la consommation du groupe frigorifique.
Efficacité de la production frigorifique : Le COP (coefficient de performance d'une machine) correspond au rapport entre la quantité de chaleur récupérée par le condenseur et la quantité d'énergie électrique totale absorbée par l'installation en grande partie du au compresseur mais aussi aux équipements supplémentaires (ventilateurs, pompes de circulation d'eau, ...).Des données constructeurs montrent des valeurs de COP entre de 2,5 à 5, soit quelque peu supérieures aux moyennes de machines utilisant des condenseurs ""classiques"". ",,,,"
Investissement élevé",de la consommation électrique du condenseur,
6,3,2.0,2.0,Refrigeration condenser high efficiency,Mise en place de condenseur à haute efficacité sur une installation frigorifique neuve ou existante certifié EUROVENT ou équivalent (cf fiche).,,,"Les condenseurs évaporatifs sont plus efficaces car ils utilisent la chaleur latente pour évacuer la chaleur.La plupart des systèmes réfrigérants utilisent des condenseurs refroidis à l’air pour l’évacuation de la chaleur. Les condenseurs à évaporation utilisent un filtre humidifié pour refroidir l’air ambiant lors de son entrée dans le condenseur, accroissant ainsi la capacité d’évacuation de chaleur.","Un condenseur à haute efficacité énergétique est un échangeur présentant un faible écart de température ΔT. Le ΔT l’écart de température entre le fluide frigorigène à la pression de condensation et le médium de refroidissement (eau ou air) en entrée du condenseur. Abaisser le ΔT permet d’abaisser la consommation du groupe frigorifique.
Efficacité de la production frigorifique : Le COP (coefficient de performance d'une machine) correspond au rapport entre la quantité de chaleur récupérée par le condenseur et la quantité d'énergie électrique totale absorbée par l'installation en grande partie du au compresseur mais aussi aux équipements supplémentaires (ventilateurs, pompes de circulation d'eau, ...).Des données constructeurs montrent des valeurs de COP entre de 2,5 à 5, soit quelque peu supérieures aux moyennes de machines utilisant des condenseurs ""classiques"". ",,,,"
Investissement élevé",de la consommation électrique du condenseur,
6,4,2.0,2.0,Condensador frigorífico a alta eficiencia,Mise en place de condenseur à haute efficacité sur une installation frigorifique neuve ou existante certifié EUROVENT ou équivalent (cf fiche).,,,"Les condenseurs évaporatifs sont plus efficaces car ils utilisent la chaleur latente pour évacuer la chaleur.La plupart des systèmes réfrigérants utilisent des condenseurs refroidis à l’air pour l’évacuation de la chaleur. Les condenseurs à évaporation utilisent un filtre humidifié pour refroidir l’air ambiant lors de son entrée dans le condenseur, accroissant ainsi la capacité d’évacuation de chaleur.","Un condenseur à haute efficacité énergétique est un échangeur présentant un faible écart de température ΔT. Le ΔT l’écart de température entre le fluide frigorigène à la pression de condensation et le médium de refroidissement (eau ou air) en entrée du condenseur. Abaisser le ΔT permet d’abaisser la consommation du groupe frigorifique.
Efficacité de la production frigorifique : Le COP (coefficient de performance d'une machine) correspond au rapport entre la quantité de chaleur récupérée par le condenseur et la quantité d'énergie électrique totale absorbée par l'installation en grande partie du au compresseur mais aussi aux équipements supplémentaires (ventilateurs, pompes de circulation d'eau, ...).Des données constructeurs montrent des valeurs de COP entre de 2,5 à 5, soit quelque peu supérieures aux moyennes de machines utilisant des condenseurs ""classiques"". ",,,,"
Investissement élevé",de la consommation électrique du condenseur,
7,2,2.0,2.0,Condenseur surélevée pour garantir un bon échange thermique,"Lorsque les condenseurs à air sont placés sur le toit, les échanges de chaleur peuvent ne pas être optimums. Surélever ces condenseurs d'un mètre permet d'optimiser les tranferts de chaleur car l'air proche du toit est généralement plus chaud en été.
Les condenseurs doivent être placés où ils pourront correctement évacuer la chaleur et, de préférence, là où il fait le moins chaud.",,,"La solution s'applique aux condenseurs à air placés sur des toitures métalliques. Ces condenseurs se retrouvent particulièrement dans le secteur des Grandes et Moyennes Surfaces (GMS) car, par manque de place, le toit est généralement choisi pour l'emplacement des condenseurs.","L'air échangé au niveau des condenseurs à air doit être le plus frais possible car selon la qualité du condenseur, la température de condensation du fluide frigorigène est égale à la température de l'air + 10°C. Or, le rendement du système frigorifique est optimum si la température de condensation est faible.
 
Les toits non isolés en structure métallique sont chauffés directement par le rayonnement solaire. Leur température de surface s'éleve rapidement selon l'ensoleillement. Si les condenseurs à air sont proches du toit, l'air provenant du dessous les condenseurs, destiné à refroidir le fluide frigorigène, est réchauffé par la chaleur du toit.
Si le condenseur est élevé, ce phénomène de réchauffement d'air est évité.
 
Il est important de vérifier aussi que le condenseur à air ne reprend pas l'air rejeté car, l'air étant chaud, le rendement du système frigorifique serait diminué.",,,,"
Modification de l'emplacement des condenseurs parfois difficile.
",,"
Augmentation du transfert d'échange thermique. Amélioration du rendement.
Durée de vie des ventilateurs améliorée.
"
