numsolution,numrex,mini_cout,maxi_cout,reel_cout,code_monnaie_cout,code_unite_cout,difficulte,gain,code_monnaie_gain,code_periode_gain,energie_gain,code_unite_energie,code_periode_energie,ges_gain,mini_gain,maxi_gain,moyen_gain,reel_gain,tri_reel,tri_min,tri_max
1,1,,,,0,0,,,1,1,,1,1,,,,,,,,
1,109,,,,0,0,,,1,1,,1,1,,,,,,,,
1,114,,,,0,0,,31743.0,4,3,,1,1,455.0,,,,,4.2,,
1,153,0.0,0.0,350000.0,2,1,,17000.0,2,3,534.0,12,1,34.8,,,,,3.0,,
1,489,,,,0,0,,17000.0,6,3,,1,1,,,,,,,,
1,781,,,,0,0,,,1,3,4668.0,2,1,288.0,,,,,,,
1,1268,,,,0,0,,,1,1,,1,1,,,,,,,,
1,1435,,,,0,0,,2395.0,3,3,27900.0,5,1,,,,,0.5,1.3,,
1,1449,,,,0,0,,2122.0,3,3,,1,1,,,,,,,,
1,1515,,,,0,0,,,1,3,961.0,2,1,67.0,,,,,,,
1,1633,,,,0,0,,,1,3,33.0,2,1,28.0,,,,,,,
1,1644,0.0,0.0,106691.0,5,1,,,1,3,1197.0,2,1,84.0,,,,,,,
1,1645,,,,0,0,,,1,3,8128.0,2,1,601.0,,,,,,,
1,1842,0.0,0.0,3000000.0,3,1,,,0,0,,0,0,,,,,,,,
1,1898,0.0,0.0,181000000.0,3,1,,,3,3,,1,1,,,,,,,,
1,1913,,,,0,0,,640000.0,3,3,,1,1,,,,,,,,
2,43,,,,0,0,,,1,1,,1,1,,,0.3,,,,,
2,182,,,,0,0,,,1,1,,1,1,,,,,,,,
2,1611,0.0,0.0,1834242.0,5,1,,,0,0,,0,0,,,,,,,,
2,1612,0.0,0.0,851927.0,5,1,,,1,1,,1,1,891.0,,,,,,,
4,118,,,,0,0,,,1,1,,1,1,,,,,,,0.0,2.0
4,180,,,,0,0,,30000.0,3,3,254700.0,5,3,,,,,,,,
4,563,,,,0,0,,,1,1,,1,1,,,,,,,,
4,1457,,,,0,0,,,1,1,,1,1,,,,,,,,
5,524,0.0,0.0,10000.0,7,1,,520000.0,7,3,115000.0,5,1,,,,,,0.02,,
6,1255,,,,0,0,,,1,1,,1,1,,,,,,,,
6,1429,,,,0,0,,,1,1,,1,1,,,,,,,,
8,825,0.0,0.0,8000.0,3,1,,56000.0,3,3,450.0,12,1,,,,,,0.15,,
8,1245,,,,0,0,,,1,1,,1,1,,,,,,,,
10,96,,,,0,0,,,1,1,,1,1,,,,,0.16,,,
10,96,,,,0,0,,,1,1,,1,1,,,,,0.06,,,
11,118,,,,0,0,,,1,1,,1,1,,,,,,,,
13,1552,,,,0,0,,,1,1,,1,1,,,,,,,,
14,443,0.0,0.0,84000.0,9,1,,19660.0,9,3,79019.0,5,1,,,,,,4.0,,
14,645,,,,0,0,,,1,1,,1,1,,,,,,,,
17,117,,,,0,0,,,1,1,,1,1,,,,,,,,
17,719,0.0,0.0,900000.0,3,1,,1900000.0,3,1,,1,1,,,,,,,,
17,864,,,,0,0,,29000.0,3,3,7000.0,11,1,,,,,,,,
17,2099,,,,0,0,,,1,1,,1,1,,,,,,,,
17,2101,0.0,0.0,230000.0,2,1,,31000.0,2,3,873246.0,5,1,180.0,,,,0.43,8.0,,
18,605,,,,0,0,,,1,1,,1,1,,,,,,,,
19,178,,,,0,0,,103000.0,3,3,928600.0,5,3,,,,,,,,
19,825,0.0,0.0,800000.0,3,1,,145000.0,3,3,2900.0,12,1,,,,,,5.5,,
19,2055,,,,0,0,,,1,1,,1,1,,,,,,,,
19,2124,0.0,0.0,60000.0,2,1,0.0,0.0,1,1,310000.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
21,1245,,,,0,0,,,1,1,,1,1,,,,,,,,
22,340,,,,0,0,,,1,1,,1,1,,,,,,,,
24,138,,,,0,0,,,1,1,,1,1,,,,,,,,
24,1278,,,,0,0,,,1,1,,1,1,,,,,,,,
25,443,0.0,0.0,23000.0,9,1,,19840.0,9,3,30648.0,5,1,,,,,,1.2,,
26,1487,,,,0,0,,,1,1,,1,1,,,,,,,,
27,825,0.0,0.0,550000.0,3,1,,150000.0,3,3,3000.0,12,1,,,,,,3.7,,
28,1245,,,,0,0,,,1,1,,1,1,,,,,,,,
28,1246,,,,0,0,,,1,1,,1,1,,,,,,,,
28,1487,,,,0,0,,,1,1,,1,1,,,,,,,,
29,104,,,,0,0,,,1,1,,1,1,,,,,,0.7,,
29,138,,,,0,0,,,1,1,,1,1,,,,,,,,
29,190,0.0,0.0,900.0,4,1,8.0,4928.0,4,3,54750.0,5,3,,,,,,,,
29,551,,,,0,0,,,1,1,,1,1,,,,,,,,
29,594,,,,0,0,,,1,1,,1,1,,,,,,,,
29,825,0.0,0.0,0.0,1,1,,21000.0,3,3,170.0,12,1,,,,,,0.0,,
29,2072,,,,0,0,,,1,1,,1,1,,,,,,,,
32,138,,,,0,0,,,1,1,,1,1,,,,,,,,
32,716,,,,0,0,,,1,1,648272.0,5,1,,,,,,,,
32,820,,,,0,0,,,1,1,,1,1,,,,,,,,
33,1278,,,,0,0,,,1,1,,1,1,,,,,,,,
34,40,,,,0,0,,,1,1,,1,1,,,,,,,,
34,825,0.0,0.0,0.0,3,1,,15000.0,3,3,300.0,12,1,,,,,,0.0,,
36,1272,,,,0,0,,,1,1,,1,1,,,,,,,,
39,178,0.0,0.0,204000.0,3,1,,10000.0,3,3,92800.0,5,3,,,,,,,,
39,350,,,,0,0,,,1,1,,1,1,,,,,0.28,2.0,,
39,351,,,,0,0,,,1,1,,1,1,,,,,,,,
40,1234,0.0,0.0,53786.0,1,1,,,1,1,,1,1,,,,,,,,
40,1253,,,,0,0,,,1,1,,1,1,,,,,,,,
40,1819,,,,0,0,,,1,1,,1,1,,,,,,,,
42,836,0.0,0.0,292545.0,3,1,,87420.0,3,3,1552750.0,5,1,,,,,,3.34,,
42,2070,,,,0,0,,,1,1,,1,1,,,,,,,,
43,121,,,,0,0,,,1,1,,1,1,,,,,,,,
43,185,,,,0,0,,,1,1,,1,1,,,,,,,,
43,347,0.0,0.0,1600000.0,9,1,,880000.0,9,3,2940.0,12,3,,,,,0.68,2.0,,
43,348,0.0,0.0,27440.0,2,1,,,1,1,119.0,12,3,,,,,0.61,1.5,,
43,348,0.0,0.0,27440.0,2,1,,,1,1,60.0,14,3,,,,,,,,
43,360,,,,0,0,,,1,1,,1,1,,,,,0.15,,,
43,469,0.0,0.0,65000.0,6,1,,,1,1,,1,1,,,,,,,,
43,471,,,,0,0,,,1,1,,1,1,,,,,,,,
43,658,,,,0,0,,,1,1,,1,1,,,,,,,,
43,844,,,,0,0,,,1,1,,1,1,,,,,,,,
43,1284,,,,0,0,,,1,1,,1,1,,,,,,,,
43,1556,,,,0,0,,,1,1,,1,1,,,,,,,,
43,1561,,,,0,0,,,1,3,740613.0,5,1,,,,,,,,
43,1565,,,,0,0,,10650.0,3,3,,1,1,,,,,,0.0,,
43,1620,0.0,0.0,288880.0,5,1,,,1,3,556047.0,2,1,15.0,,,,,,,
43,1750,,,,0,0,,,1,1,,1,1,,,,,,,,
43,1771,,,,0,0,,,1,1,,1,1,,,,,,,,
43,1778,0.0,0.0,90600.0,2,1,,,1,3,125000.0,7,1,,,,,,,,
43,1789,,,,0,0,,,1,1,,1,1,,,,,,,,
43,1795,,,,0,0,,,1,1,,1,1,,,,,,,,
