numtechnologie,codelangue,titre,definition,3,4,application,6,7,8,9,10,11,12,13,14,15,16,17,18
2,2,Management (ISO 50 001),"Le management de l'énergie est illustré par l'ISO 50001 qui permet de mettre en place un Système de Management de l'Energie (SMEn) afin de développer une gestion méthodique de l'énergie. Le SMEn repose sur la boucle d'amélioration continue Plan-Do-Check-Act (PDCA), bien connue pour la qualité (ISO 9001) et l'environnement (ISO 14001).","Le management de l'énergie est applicable à tous types de structures dès lors qu'il y a une gouvernance. Deux critères sont nécessaires : l'engagement de la Direction dans le processus et l'identification d'un ""responsable énergie"". Il est donc applicable aux entreprises, industries, commerces, tertiaire, collectivités, administrations... ",,,,,"La mise en œuvre du management de l'énergie nécessite des coûts d'accompagnement, d'audit et de certification.",,,La mise en place d'un SMEn permet de diminuer les dépenses d'énergie.,img/techno/mgt/mgt_systeme_fr.png,,La boucle PDCA d'amélioration continue,,,,
2,3,Management (ISO 50 001),"The energy management is illustrated by the ISO 50001 which allows to implement an Energy Management System to develop a systematic management of energy. This system is based on continuous improvement loop Plan-Do-Check-Act (PDCA), well known for quality (ISO 9001) and environment (ISO 14001).","The energy management is applicable to all types of structures where there is a governance. Two criteria are required: management commitment to the process and the identification of a ""energy responsible"". It is therefore applicable to companies, industries, businesses, commercial, communities, governments ...",,,,,"The implementation of energy management requires accompanying costs, auditing and certification.",,,The establishment of an Energy Management System reduces energy costs.,img/techno/mgt/mgt_systeme_en.png,,PDCA loop for continuous improvement,,,,
2,4,Administración (ISO 50 001),"La gestión de la energía está ilustrada por la Norma ISO 50001 que permite poner en práctica un Sistema de Gestión de la Energía (SGE) con el fin de desarrollar una gestión metódica de la energía. El SGE se basa en el bucle de mejora continua  Plan-Do-Check-Act (PDCA), bien conocido por la calidad (ISO 9001) y el medio ambiente (ISO 14001)","La gestión de la energía es aplicable a todo tipo de estructuras desde que hay una gobernanza. Dos criterios son necesarios: el compromiso de la Dirección en el proceso y la identificicación de un ''reponsable de energía''. Es por lo tanto aplicable a las empresas, industrias, comercios, terciario, comunidades, administraciones...",,,,,La puesta en marcha de la gestión energética requiere costes adjuntos de auditoría y de certificación.,,,La puesta en marcha de un SGE permite disminuir los gastos de energía.,img/techno/mgt/mgt_systeme_es.png,,Bucle PDCA de mejora continua,,,,
3,2,Gestion des énergies,"La gestion de l'énergie consiste à évaluer les performances énergétiques d'un site dans le temps. En comparant les consommations annuelles, mensuelles ou par postes, par départements, il est possible de répérer des consommations anormales et de quantifier les gains obtenus.",Les systèmes de management de l'énergie peuvent s'appliquer à tous les secteurs industriels et tertiaires.,,,,,"La mise en place d'un plan de mesure et de vérification des économies réelles a un coût. Pour autant, il est estimé que celui-ci est inférieur à 10 % des gains engendrés par un système de management de l'énergie.",,,Les systèmes de management de l'énergie permettent d'économiser entre 5 et 22 % des consommations énergétiques.,img/techno/mgt/mgt_systeme_fr.png,,La boucle PDCA d'amélioration continue,,,,
3,3,Energy management,"The energy management is to assess the energy performance of a site over time. Comparing annual or monthly consumption, by item or department, it is possible to detect abnormal consumption and quantify the gains.",Systems for energy management can be applied to all industrial and service sectors.,,,,,"The implementation of a plan for measurement and verification of real savings at a cost. However, it is estimated that it is less than 10% of earnings generated by a system of energy management.",,,Systems for energy management can save between 5 and 22% of energy consumption.,img/techno/mgt/mgt_systeme_en.png,,PDCA loop for continuous improvement,,,,
3,4,Gestión de energías,"La gestión de la energía consiste en evaluar los rendimientos energéticos de un sitio en el tiempo. Comparando los consumos anuales, mensuales y por puestos, por departamentos, es posible detectar el consumo anormal y cuantificar los beneficios obtenidos.",Los sistemas de gestión de la energía pueden aplicarse a todos los sectores industriales y terciarios.,,,,,"La puesta en marcha de un plan de medición y de verificación de ahorros reales tiene un coste. Sin embargo, se estima que es inferior al 10% de los beneficios obtenidos por un sistema de gestión de la energía.",,,Los sistemas de gestión de la energía permiten economizar entre un 5 y un 22% los consumos energéticos.,img/techno/mgt/mgt_systeme_es.png,,Bucle PDCA de mejora continua,,,,
4,2,Organisation,"Cette partie renvoie à la centralisation, la communication et la délégation des opérations d'économie d'énergie. Elle comprend par exemple, le fait de nommer un responsable énergie, d'organiser des réunions de suivi ou encore de centraliser les bonnes pratiques au niveau du Groupe.",Ces pratiques sont applicables à toute entité.,,,,,"La mise en place d'un plan de mesure et de vérification des économies réelles a un coût. Pour autant, il est estimé que celui ci est inférieur à 10 % des gains engendrés par un système de management de l'énergie.",,,,img/techno/mgt/mgt_systeme_fr.png,,La boucle PDCA d'amélioration continue,,,,
4,3,Organization,"This section refers to the centralization, communication and delegation of power saving operations. It includes, for example, the naming of an energy manager to organize follow-up meetings or centralizing practices at Group level.",These practices are applicable to any entity.,,,,,"The implementation of a plan for measurement and verification of real savings have a cost. However, it is estimated that it is less than 10% of earnings generated by a system of energy management.",,,,img/techno/mgt/mgt_systeme_en.png,,PDCA loop for continuous improvement,,,,
4,4,Organización,"Esta sección hace referencia a la centralización, comunicación y la delegación de las operaciones de ahorro de energía.  Incluye por ejemplo, el nombramiento de un responsable energético, organizar reuniones de seguimiento o también centralizar las buenas prácticas al nivel de Grupo.",Estas prácticas son aplicables a toda entidad.,,,,,"La puesta en marcha de un plan de medidas y de verificación de ahorros reales tiene un coste. Sin embargo, se estima que es inferior al 10% de los beneficios obtenidos por un sistema de gestión de la energía.",,,,img/techno/mgt/mgt_systeme_es.png,,Bucle PDCA de mejora continua,,,,
5,2,Bâtiment,Un bâtiment a pour but d'isoler un espace afin de créer des conditions propres à une activité. Il est constitué d'une enveloppe et d'équipements consommateurs permettant d'assurer une atmosphère conditionnée. La structure et l'aménagement du bâtiment sont liés à son usage.,"Les types de bâtiment sont répartis en fonction des secteurs d'activité. Outre le secteur des logements collectifs et individuels, le secteur des bâtiments tertiaires est divisé en plusieurs sous secteurs.",#15,Répartition des consommations par secteur des bâtiments tertiaires en 2009,,,"Selon l'âge du bâtiment, les coûts d'investissement liés à la rénovation de ce dernier sont variables :

de 0 à 300 €HT/m² SHON pour un rafraichissement (relamping, plomberie, agencement…) ;
de 300 à 1 000 €/HT/m² SHON pour une rénovation plus lourde (changement des équipements pour le chauffage, la ventilation et la climatisation, isolation des murs et de la toiture…) ;
plus de 1 000 €/HT/m² SHON pour une restructuration complète (ravalement de façade, changement des menuiseries, remplacement des réseaux de chauffage et ventilation, isolation du plancher…).",,,"Un diagnostic isolation réalisé de manière périodique par une entreprise extérieure permet de diminuer les coûts énergétiques de fonctionnement.
De même, une maintenance bien suivie de l'isolation permet de préserver ses propriétés. Cela peut, par exemple, comprendre l'ajout d'une couche garnissante si l'encrassement des murs est important.
Le remplacement des équipements pour le chauffage, la ventilation et la climatisation permet de passer sur des technologies de rupture engendrant d'importantes économies d'énergie. Par exemple, les pompes à chaleur géothermiques ont des rendements élevés toute l'année et consomment 4 fois moins d'électricité que des convecteurs électriques pour une même quantité de chaleur générée.",img/techno/bat/bat/bat_systeme_fr.png,,Ponts thermiques d'un bâtiment,,,,
